"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"61","95.61779837488098","99.74288644130071","4.901574231418826","-0.30995863458067757","0.005299999999999971","0.0054","0.005199999999999982","1244.4444444444443","0.0002531337273076728","0","0.0002531337273076728","0.0002531337273076728","61_60:0.009336624464568788;61_62:0.007777449561676114","61_60:533.3333333333333;61_62:533.3333333333333","true"
"62","340.7176557552629","67.49868260171684","4.771328012518715","-0.3109932039506031","0.014699999999999935","0.015599999999999947","0.0138","1244.4444444444443","0.00036177799161989663","0","0.00036177799161989663","0.00036177799161989663","","","true"
"63","116.37474589672907","88.27501147313274","4.9950328226027825","-0.308453762666027","0.07666666666666666","0.1466666666666666","0.006666666666666667","1244.4444444444443","0.006186606525047403","0","0.006186606525047403","0.006186606525047403","63_64:1;63_62:1","63_64:533.3333333333333;63_62:533.3333333333333","true"
"64","187.98374443680882","194.68862520809276","4.878915207052181","-0.31051183745857736","0.0046999999999999265","0.0064","0.0030000000000000027","1244.4444444444443","0.0001833604117784279","0","0.0001833604117784279","0.0001833604117784279","64_54:0.008131707234606239;64_65:0.006156885390663447","64_54:533.3333333333333;64_65:590.2222222222222","true"
"65","287.0715160919132","206.08025060749458","4.758077417316479","-0.31051573933044047","0.01749999999999996","0.02059999999999995","0.0144","1244.4444444444443","0.00025383501965221535","0","0.00025383501965221535","0.00025383501965221535","","","true"
"66","251.6716121964902","257.759950002951","4.809594109091326","-0.3109248312518322","0.005800000000000027","0.007600000000000051","0.004","1244.4444444444443","0.0002142569278936929","0","0.0002142569278936929","0.0002142569278936929","66_65:0.006361840589011819","66_65:533.3333333333333","true"
"67","70.1421840242755","184.0346955411353","4.8934818789518575","-0.31039200176040205","0.2683333333333333","0.4833333333333333","0.05333333333333334","1244.4444444444443","0.004480828465033841","0","0.004480828465033841","0.004480828465033841","67_66:1","67_66:533.3333333333333","true"
"68","240.36955538678558","107.99125177481962","4.741286199933462","-0.31180260683390987","0.006800000000000028","0.008","0.005600000000000049","1244.4444444444443","0.00020933537919956959","0","0.00020933537919956959","0.00020933537919956959","68_55:0.008901900382344313;68_67:1","68_55:775.1111111111111;68_67:533.3333333333333","true"
"69","269.77030345390773","17.94819681743266","4.8374208451313345","-0.30965408980565917","0.00990000000000002","0.008600000000000052","0.0112","1244.4444444444443","0.00024133308684954892","0","0.00024133308684954892","0.00024133308684954892","69_68:0.007421056554052036;69_70:0.010004489463374538","69_68:533.3333333333333;69_70:533.3333333333333","true"
"70","267.2046424021954","241.6576787717737","4.708544814617813","-0.31145025923177105","0.008599999999999941","0.013599999999999945","0.0036","1244.4444444444443","0.0008366146925056372","0","0.0008366146925056372","0.0008366146925056372","","","true"
"71","402.1061956189148","162.680274842423","4.846323249622161","-0.3101101834347441","0.22450000000000003","0.2228","0.2262","1244.4444444444443","0.0007208919359352564","0","0.0007208919359352564","0.0007208919359352564","71_58:0.009243087923215126;71_77:0.005379525105652622","71_58:533.3333333333333;71_77:533.3333333333333","true"
"72","336.3903155342154","290.6992147065327","4.874541244156005","-0.30919743263741656","0.09460000000000002","0.09240000000000004","0.0968","1244.4444444444443","0.00010964570490557502","0","0.00010964570490557502","0.00010964570490557502","72_62:0.007885804995802798","72_62:533.3333333333333","true"
"73","206.79837361512918","141.67830755534462","4.874791310782618","-0.3102390852422053","0.0044999999999999485","0.0040000000000000036","0.005","1244.4444444444443","0.00016421502913912004","0","0.00016421502913912004","0.00016421502913912004","73_85:0.004698523282561179;73_66:0.007446238428264529","73_85:533.3333333333333;73_66:533.3333333333333","true"
"74","230.38322236003617","233.4818305301696","4.814364844376075","-0.31129790243600725","0.0048000000000000265","0.007000000000000006","0.0026","1244.4444444444443","0.0001717786507827436","0","0.0001717786507827436","0.0001717786507827436","74_70:0.006722000333977685","74_70:533.3333333333333","true"
"75","290.12869962550167","253.76022306203072","4.768980178915828","-0.31042690020941655","0.043300000000000005","0.0444","0.042200000000000015","1244.4444444444443","0.0002298265883235451","0","0.0002298265883235451","0.0002298265883235451","75_76:0.01242454327503656","75_76:533.3333333333333","true"
"76","181.2942931989237","75.93030802137481","4.702014158307308","-0.31291705661427394","0.018199999999999994","0.01859999999999995","0.0178","1244.4444444444443","0.0003970412420556089","0","0.0003970412420556089","0.0003970412420556089","","","true"
"77","243.54798341980478","238.50983278795738","4.806555827473171","-0.3107912307043456","0.017800000000000038","0.01759999999999995","0.018","1244.4444444444443","0.00014280209055645248","0","0.00014280209055645248","0.00014280209055645248","77_76:0.01404971183751011","77_76:533.3333333333333","true"
