file,param,value,succ_rate_or_frac0,exec_per_sec,succ_per_sec,num_times,ci_low,ci_high
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,14.0,0.57,5.8589197,3.339584229,100,0.4721521169586435,0.6626686099947162
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,15.0,0.54,5.8589206,3.1638171240000004,100,0.44264685393523856,0.6343935614666815
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,16.0,0.61,5.8589192,3.573940712,100,0.5120283616749817,0.699832780680298
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,17.0,0.51,5.8589212,2.9880498120000003,100,0.4134784047743415,0.6057816990761385
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,18.0,0.58,5.8589202,3.398173716,100,0.48206307998895276,0.672017750814887
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,19.0,0.52,5.85892,3.0466384000000004,100,0.4231640509017654,0.6153561567991945
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,0.0,0.59,12.3192,7.268327999999999,100,0.4920125056109662,0.6813284290433533
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,1.0,0.6,12.3192,7.39152,100,0.5020007846184025,0.6906002538863971
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,2.0,0.65,12.3192,8.007480000000001,100,0.5525426042919797,0.7363589534652197
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,3.0,0.66,12.3192,8.130672,100,0.5627754565831095,0.74538620502457
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,4.0,0.63,12.3192,7.761096,100,0.5322034757513312,0.7181778743049083
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,5.0,0.72,12.3192,8.869824,100,0.6251178763865427,0.7986044083240164
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,6.0,0.66,12.3192,8.130672,100,0.5627754565831095,0.74538620502457
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,7.0,0.63,12.3192,7.761096,100,0.5322034757513312,0.7181778743049083
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,8.0,0.74,12.3192,9.116208,100,0.6462882736813838,0.8159542187301354
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,9.0,0.63,12.3192,7.761096,100,0.5322034757513312,0.7181778743049083
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,10.0,0.63,12.3192,7.761096,100,0.5322034757513312,0.7181778743049083
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,11.0,0.66,12.3192,8.130672,100,0.5627754565831095,0.74538620502457
20240915-225204_GenericQDeviceConfig_init_time_100.csv,Unnamed: 0,12.0,0.74,12.3192,9.116208,100,0.6462882736813838,0.8159542187301354
